Ime ekipe,Grad,Savezna drzava,Arena,Kapacitet,Godina osnutka,Godina prikljucenja ligi,Wikipedia Stranica,Trener,Vlasnistvo,Igraci__Ime,Igraci__Prezime
Denver Nuggets,Denver,Colorado,Ball Arena,19520,1967,1976,Denver_Nuggets,Michael Malone,Ann Walton Kroenke,Nikola,Jokic
,,,,,,,,,,Paul,Millsap
,,,,,,,,,,Jamal,Murray
,,,,,,,,,,Bol,Bol
,,,,,,,,,,Mason,Plumlee
Golden State Warriors,San Francisco,California,Chase Center,18064,1946,1946,Golden_State_Warriors,Steve Kerr,Joe Lacob,Stephen,Curry
,,,,,,,,,,Klay,Thompson
,,,,,,,,,,Draymond,Green
,,,,,,,,,,Kevon,Looney
,,,,,,,,,,Andrew,Wiggins
Los Angeles Lakers,Los Angeles,California,Staples Center,18997,1947,1948,Los_Angeles_Lakers,Frank Vogel,Philip Anschutz,LeBron,James
,,,,,,,,,,Anthony,Davis
,,,,,,,,,,Kyle,Kuzma
,,,,,,,,,,Rajon,Rondo
,,,,,,,,,,Alex,Caruso
Los Angeles Clippers,Los Angeles,California,Staples Center,19060,1970,1970,Los_Angeles_Clippers,Tyronn Lue,Steve Ballmer,Paul,George
,,,,,,,,,,Kawhi,Leonard
,,,,,,,,,,Lou,Williams
,,,,,,,,,,Ivica,Zubac
,,,,,,,,,,Marcus,Morris
Portland Trail Blazers,Portland,Oregon,Moda Center,19441,1970,1970,Portland_Trail_Blazers,Terry Stotts,Paul Allen,Damian,Lillard
,,,,,,,,,,Jusuf,Nurkic
,,,,,,,,,,Mario,Hezonja
,,,,,,,,,,Carmelo,Anthony
,,,,,,,,,,CJ,McCollum
Oklahoma City Thunder,Oklahoma City,Oklahoma,Chesapeake Energy Arena,18203,1967,1967,Oklahoma_City_Thunder,Billy Donovan,Clay Bennett,Chris,Paul
,,,,,,,,,,Steven,Adams
,,,,,,,,,,Dennis,Schröder
,,,,,,,,,,Mike,Muscala
,,,,,,,,,,Shai,Gilgeous-Alexander
Houston Rockets,Houston,Texas,Toyota Center,18055,1967,1967,Houston_Rockets,Mike D'Antoni,Tilman Fertitta,James,Harden
,,,,,,,,,,Russell,Westbrook
,,,,,,,,,,Robert,Covington
,,,,,,,,,,Austin,Rivers
,,,,,,,,,,Eric,Gordon
Dallas Mavericks,Dallas,Texas,American Airlines Center,19200,1980,1980,Dallas_Mavericks,Rick Carlisle,Mark Cuban,Luka,Doncic
,,,,,,,,,,Kristaps,Porzingis
,,,,,,,,,,Seth,Curry
,,,,,,,,,,Tim,Hardaway
,,,,,,,,,,Boban,Marjanovic
Phoenix Suns,Phoenix,Arizona,Talking Stick Resort Arena,18055,1968,1968,Phoenix_Suns,Monty Williams,Robert Sarver,Devin,Booker
,,,,,,,,,,Deandre,Ayton
,,,,,,,,,,Ricky,Rubio
,,,,,,,,,,Dario,saric
,,,,,,,,,,Aron,Baynes
Utah Jazz,Salt Lake City,Utah,Vivint Smart Home Arena,19911,1974,1974,Utah_Jazz,Quin Snyder,Gail Miller,Donovan,Mitchell
,,,,,,,,,,Rudy,Gobert
,,,,,,,,,,Joe,Ingles
,,,,,,,,,,Mike,Conley
,,,,,,,,,,Bojan,Bogdanovic
New Orleans Pelicans,New Orleans,Louisiana,Smoothie King Center,16867,2002,2002,New_Orleans_Pelicans,Stanley Van Gundy,Gayle Benson,Zion,Williamson
,,,,,,,,,,Brandon,Ingram
,,,,,,,,,,Jrue,Holiday
,,,,,,,,,,Lonzo,Ball
,,,,,,,,,,Josh,Hart
Minnesota Timberwolves,Minneapolis,Minnesota,Target Center,19356,1989,1989,Minnesota_Timberwolves,Ryan Saunders,Glen Taylor,D'Angelo,Russell
,,,,,,,,,,Karl-Anthony,Towns
,,,,,,,,,,Juan,Hernangómez
,,,,,,,,,,Evan,Turner
,,,,,,,,,,Josh,Okogie
